Name,Alcohol,Character,Class,Beverage,Clusters
Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre,1,1
Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay,1,1
Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling,1,1
Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,1
Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc,1,1
Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14.0,4,Pinot Gris,1,2
Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11.0,8,Tokaji,1,2
Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji,1,2
Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,,1,0
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris,1,1
De Bortoli Botrytis Semillon 2018 Half Bottle,10.0,8,,1,3
The Hunting Lodge Seasonal Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,1
Yealands Estate Single Vineyard Sauvignon Blanc 2020/21,13.0,2,Sauvignon Blanc,1,1
Lyme Bay Chardonnay 2017/18,13.5,2,Chardonnay,1,1
La Belle Angele Sauvignon Blanc Boxed Wine 2.25L,11.5,2,Sauvignon Blanc,1,1
Definition Pouilly-Fuissé 2019,13.0,2,,1,1
Ara 'Pathway' Sauvignon Blanc 2021,13.0,2,Sauvignon Blanc,1,1
Domaine Faiveley 'La Garenne' 2016 Puligny-Montrachet Premier Cru,13.5,2,,1,1
Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13.0,2,Gavi,1,1
Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,,1,1
The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc,1,3
Pegasus Bay 'Main Divide' Riesling 2016,13.0,4,Riesling,1,2
Pedro Ximenez Triana Hidalgo Sherry,15.0,8,,1,0
Schloss Vollrads Riesling Kabinett Trocken 2018,12.5,3,Riesling,1,1
Alain Jaume 'La Butte d'Or' Condrieu 2020,14.0,2,,1,1
Domäne Wachau 'Smaragd' Grüner Veltliner 2019/20,13.5,2,,1,1
Majestic Crisp and Zesty 2021,12.5,2,,1,1
Parcel Series Sauvignon Blanc 2019,13.0,2,Sauvignon Blanc,1,1
Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12.0,2,,1,1
Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay,1,1
Christina Ascheri Gavi di Gavi DOCG 2020,13.0,4,Gavi,1,2
Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,,1,2
Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14.0,3,,1,1
Waimea Estates Gewürztraminer 2020/21,13.5,3,,1,1
Definition Sauternes 2014 Half Bottle,13.0,8,,1,2
Piper-Heidsieck 'Cuvée Brut' Champagne,12.0,2,,1,1
Saint Clair ‘Pioneer Block 5 Bull Block’ Pinot Gris 2020,12.5,3,Pinot Gris,1,1
Cattier Premier Cru Brut Champagne,12.5,2,,1,1
Villa Tucci Bianco,12.0,2,,1,1
Famille Brocard 'Bougros' Chablis Grand Cru 2019,14.0,2,,1,1
Edouard Delaunay Puligny-Montrachet 2019,14.0,2,,1,1
J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020,12.0,2,Chardonnay,1,1
Château La Rame 2017/18 Ste-Croix-du-Mont Half Bottle,15.0,8,,1,0
Vouvray Domaine des Aubuisières Cuvée de Perruches 2019/20,13.5,2,,1,1
Kuhlmann-Platz Riesling 2020 Cave de Hunawihr,13.0,2,Riesling,1,1
Apostoles 30-Year-Old Palo Cortado Sherry Gonzalez Byass Half Bottle,20.0,3,,1,0
Noe 30-Year-Old Pedro Ximenez Sherry Gonzalez Byass Half Bottle,15.5,8,,1,0
Kendermanns Riesling Kabinett 2020,8.5,2,Riesling,1,3
Framingham 'Classic' Riesling 2020/21,12.5,3,Riesling,1,1
Definition Mosel Riesling 2019/20,10.5,5,Riesling,1,3
Dr. Hermann 'Ürziger Würzgarten' Riesling Auslese 2006,8.5,6,Riesling,1,3
Cantina di Monteforte 'Saveroni' Garganega-Pinot Grigio 2020,12.5,2,Pinot Grigio,1,1
Lapostolle Cuvée Alexandre Chardonnay 2019,14.5,2,Chardonnay,1,1
Olivier Tricon ‘Léon Valleret’ Chablis 2020,12.5,2,,1,1
Guigal Condrieu 2018,14.5,2,,1,1
Royal Tokaji 5 Puttonyos 2016 Hungary 50cl,11.5,8,Tokaji,1,2
Essensia Orange Muscat 2018/19 Andrew Quady Half Bottle,15.0,7,Muscat,1,0
10 year old Malmsey Henriques and Henriques Madeira 50cl,20.0,7,,1,0
Dr Loosen ‘Graacher Himmelreich’ Riesling Spätlese 2019/20,9.5,5,Riesling,1,3
Gabriëlskloof 'Elodie' Chenin Blanc 2019/20,13.5,2,Chenin Blanc,1,1
Gonzalez Byass Solera Cream Sherry,18.0,6,,1,0
Castello di Farnetella Vin Santo 2015,15.0,7,Vin Santo,1,0
Majestic Vibrant and Fresh 2020,12.5,2,,1,1
Castello Toledana Gavi di Gavi 2019,13.5,2,Gavi,1,1
Journey’s End ‘Lone Creek’ Sauvignon Blanc 2021,12.5,3,Sauvignon Blanc,1,1
Domaine la Troupe ‘Cuvée Marie’ Viré Clessé 2020,13.0,2,,1,1
Dr Loosen Slate Hill Riesling 2019/20,8.5,3,Riesling,1,3
Villa Maria Private Bin Riesling 2016,12.0,2,Riesling,1,1
Dr. Hermann ‘Erdener Treppchen’ Riesling Auslese 2006,9.0,5,Riesling,1,3
Weingut Göettelmann Münsterer Kapellenberg Riesling Trocken 2016,12.5,3,Riesling,1,1
Dr Hermann 'Erdener Treppchen' Riesling Beerenauslese 2006 Half Bottle,8.5,8,Riesling,1,3
Cune 'Maruxa' Godello 2020,13.5,2,,1,1
Cape Mentelle Chardonnay 2017,13.0,2,Chardonnay,1,1
Cune Barrel Fermented Rioja Blanco 2019,13.0,2,Rioja,1,1
Loimer Manhart 2018,12.5,2,,1,1
Domaine Passy ‘Le Clou’ Petit Chablis 2020,12.5,2,,1,1
Domaine Marcel Couturier Pouilly-Loché 2018,13.0,2,,1,1
Veuve Clicquot Demi-Sec Champagne,12.0,5,,1,2
A Sticky End Noble Sauvignon Blanc Half Bottle,11.5,7,Sauvignon Blanc,1,2
Vin de Constance 2016 Klein Constantia,12.5,7,,1,2
Vistamar Late Harvest Moscatel 2017 Half Bottle,12.5,7,,1,2
Hermann Erdener TreppchenSpatlese Riesling 2011,8.0,3,Riesling,1,3
Dr. Hermann 'Erdener Treppchen' Riesling Auslese 2005,9.0,5,Riesling,1,3
Hermann Urziger Wurzgarten Riesling Auslese 2005,8.0,5,Riesling,1,3
Domaine des Deux Vallées 'Clos de la Casse' Anjou Blanc 2019,14.5,2,,1,1
Doudet-Naudin Chablis Grand Cru 2019,13.0,2,,1,1
Carmel 'Selected' Sauvignon Blanc 2019,12.0,2,Sauvignon Blanc,1,1
Baron Herzog Chardonnay 2019,13.0,2,Chardonnay,1,1
Edouard Delaunay 'Charmont' Chardonnay 2019,13.5,2,Chardonnay,1,1
Paul Cluver Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc,1,1
Greywacke Riesling 2019,11.5,3,Riesling,1,1
Chain Reaction Chardonnay,13.0,2,Chardonnay,1,1
Hermann Erdener Treppchen Auslese Riesling 2014,8.0,3,Riesling,1,3
Campbell's Rutherglen Muscat Half Bottle,17.5,8,Muscat,1,0
Domaine Lucien Lardy Beaujolais-Villages Blanc 2019,13.5,2,,1,1
Bodega Matsu 'La Jefa' 2018,13.0,2,,1,1
Louis Latour Marsannay Blanc 2017,13.5,2,,1,1
AltoLandon ‘Dulce Enero’ Ice Wine 2020 50cl,13.5,8,,1,2
Pieropan ‘Calvarino’ Soave Classico DOC 2019,12.5,2,,1,1
De Bortoli All Rounder Dry Botrytis Semillon 2002,12.5,8,,1,2
Three Choirs Stonebrook 2020,11.0,2,,1,1
Jimmy Liao's Riesling,11.0,2,Riesling,1,1
Yellow Tail Pink Moscato,7.5,2,,1,3
Big Coq Sweet Muscat,12.0,5,Muscat,1,2
Yellow Tail Moscato,7.5,2,,1,3
Villa Maria Private Bin Gewurztraminer,14.0,2,,1,1
Frontera Smooth & Fruity Red,12.0,5,,1,2
Flagstone Poetry Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Stormy Cape Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Masalto Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Sinfonia Tempranillo,13.5,5,,1,2
Isla Negra Seashore Merlot,12.0,5,,1,2
Hardys Classic Selection Cabernet Merlot,13.0,5,,1,2
Viña Maipo Classic Cabernet Sauvignon Shiraz,12.0,5,Cabernet Sauvignon,1,2
Isla Negra Seashore Cabernet Sauvignon,12.0,5,Cabernet Sauvignon,1,2
Kumala Eternal Pinotage Shiraz,13.5,5,,1,2
Namaqua Shiraz,14.0,5,,1,2
Namaqua Pinotage,13.0,5,,1,2
Namaqua Merlot,13.5,5,,1,2
Santa Rita 120 Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Casa de Campo Malbec,13.0,5,Malbec,1,2
Pico Andino Cabernet Sauvignon,12.5,5,Cabernet Sauvignon,1,2
Rioja Castillo de Albai Tempranillo,13.0,5,Rioja,1,2
Wolf Blass Red Label Shiraz Cabernet Sauvignon,14.0,5,Cabernet Sauvignon,1,2
Banrock Station Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Blossom Hill Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Rioja Paternina Monte Haro 2017,13.5,5,Rioja,1,2
Yellow Tail Medium Sweet Red Roo,12.0,5,,1,2
Lindemans Bin 45 Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Porta 6 Red,12.5,5,,1,2
Trapiche Vineyards Malbec,13.0,5,Malbec,1,2
Fleur de Charlotte Merlot,13.5,5,,1,2
Rioja Lagunilla Tempranillo 2017,13.5,5,Rioja,1,2
Lindemans Bin 40 Merlot,14.0,5,,1,2
Yellow Tail Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Trapiche Pinot Noir,12.5,5,Pinot Noir,1,2
Kipu Malbec,13.0,5,Malbec,1,2
Rioja Paternina Banda Azul Crianza 2016,13.5,5,Rioja,1,2
Los Cardos Malbec,13.5,5,Malbec,1,2
Verso Rosso Salento,14.0,5,,1,2
Cahors Malbec Chateau Bladinieres,13.5,4,Malbec,1,2
Trapiche Oak Cask Malbec,13.5,5,Malbec,1,2
Squealing Pig Primitivo Puglia,13.5,5,,1,2
Rioja Crianza Ederra ,13.5,5,Rioja,1,2
Wolf Blass Yellow Label Merlot,13.5,5,,1,2
Squealing Pig Mendoza Malbec,13.5,5,Malbec,1,2
Chateau Trois Moulins Cru Bourgeois Haut-Medoc 2014 SILVER MEDAL,14.0,4,,1,2
Porta 6 Red Magnum,13.5,5,,1,2
Chateau Trois Moulins Cru Bourgeois Haut-Medoc 2016,14.0,4,,1,2
Villa Maria Private Bin Merlot Cabernet Sauvignon,13.0,5,Cabernet Sauvignon,1,2
Elite d'Or Cabernet Sauvignon Marselan,14.5,5,Cabernet Sauvignon,1,2
Villa Maria Private Bin Pinot Noir,13.0,6,Pinot Noir,1,2
Beaujolais Villages Combe aux Jacques Louis Jadot,13.0,6,,1,2
Villa Maria Private Bin Shiraz,13.0,5,,1,2
Chateau Le Mayne Bordeaux Superieur,14.0,4,,1,2
Left Field Pinot Noir,13.0,5,Pinot Noir,1,2
Marquis de Prayniac Bergerac Sweet White,12.0,7,,1,2
Big Coq Sweet Muscat,12.0,5,Muscat,1,2
Yellow Tail Cabernet Sauvignon,13.5,5,Cabernet Sauvignon,1,2
Trapiche Oak Cask Malbec,13.5,5,Malbec,1,2
Verso Rosso Salento,14.0,5,,1,2
Beaujolais Villages Combe aux Jacques Louis Jadot,13.0,6,,1,2
Vacqueyras Domaine de la Pertiane,14.5,5,,1,2
Chateau Grand Jauga Sauternes,13.5,4,,1,2
Alfredini Catarratto Pinot Grigio,12.0,1,Pinot Grigio,1,1
Laurent-Perrier 'La Cuvée' Champagne,12.0,1,,1,1
"""R"" de Ruinart Champagne",12.0,1,,1,1
Lanson Le Vintage 2009,12.5,1,,1,1
Majestic Loves Pinot Grigio 2016,12.0,1,Pinot Grigio,1,1
Juve Y Camps Reserva Familia Cava,12.0,1,,1,1
Devil's Creek Sauvignon Blanc 2020,13.0,1,Sauvignon Blanc,1,1
Alamos Uco Valley Viognier 2018,13.0,1,,1,1
Zuccardi Chardonnay 2014,13.5,1,Chardonnay,1,1
Amontillado Seco Napoleon Hidalgo,17.5,1,,1,1
Six Brothers Chardonnay,13.5,1,Chardonnay,1,1
Making Tracks Chardonnay 2018,13.5,1,Chardonnay,1,1
Selborne Classic Cuvée Brut,12.0,1,,1,1
Domaines Vinsmoselle Cuvée Antoinette Crémant de Luxembourg,12.5,1,,1,1
Soumah Chardonnay 2018,13.0,1,Chardonnay,1,1
Kelly Washington Chardonnay 2017,13.0,1,Chardonnay,1,1
Baba Marta Sauvignon Blanc 2018,12.5,1,Sauvignon Blanc,1,1
Single Vision Chenin Blanc 2019,13.0,1,Chenin Blanc,1,1
Hokum Chardonnay 2018,13.5,1,Chardonnay,1,1
Mr. Glover Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc,1,1
Domaine Fouassier 'Sur le Fort' Sancerre 2019,13.5,1,Sancerre,1,1
Bruno Paillard 'Premiere Cuvée' Brut Champagne,12.0,1,,1,1
Nicolas Courtin Brut 2013,12.0,1,,1,1
Puligny-Montrachet 2018/19 Doudet Naudin,13.5,1,,1,1
Meursault 'Les Clous' 2018 Domaine Prunier,14.0,1,,1,1
Yealands Sauvignon Blanc 2020/21,13.0,1,Sauvignon Blanc,1,1
Awatere River Chardonnay 2017,13.5,1,Chardonnay,1,1
Constantine Solarris Champagne,12.5,1,,1,1
Domaine Félines Jourdan Picpoul de Pinet 2019,13.0,1,,1,1
Louis de Cherencey Chablis 2018,12.5,1,,1,1
Trizanne 'Sondagskloof' Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc,1,1
Domaine Faiveley Puligny Montrachet 1er Cru,13.0,1,,1,1
Château Paul Mas Blanc 2015 Belluguette,14.0,1,,1,1
Hamilton Russell Vineyards Chardonnay 2019/20,13.5,1,Chardonnay,1,1
Louis Latour Santenay Blanc 2018,13.5,1,,1,1
Domaine Jomain Bourgogne Blanc 2019,14.5,1,,1,1
Domaine Louis Moreau Petit Chablis 2019/20,12.0,1,,1,1
Saint-Aubin Blanc 1er Cru 2019 Domaine Gérard Thomas et Filles,13.5,1,,1,1
Antinori Castello della Sala ‘Cervaro della Sala’ 2019,13.0,1,,1,1
Domaine du Vaux Chenonceaux 2016,12.5,1,,1,1
Domaine de Villargeau 2017 Côteaux du Giennois,13.5,1,,1,1
Domaine Begude 'Le Paradis' Viognier 2020,13.5,1,,1,1
Les Jamelles Pinot Gris 2018,13.0,1,Pinot Gris,1,1
Cuvée des Familles Sauvignon-Viognier 2017 Vin de France,12.0,1,,1,1
Nicolas Feuillatte Champagne Magnum,12.0,1,,1,1
Louis Roederer 'Brut Premier' Champagne,12.0,1,,1,1
Veuve Clicquot 'La Grande Dame' 2008 Champagne,12.5,1,,1,1
The King's Thorn Pinot Gris 2017 Marlborough,14.0,1,Pinot Gris,1,1
Errazuriz Estate Series Chardonnay 2019 Casablanca Valley,13.5,1,Chardonnay,1,1
La Begude 'Amelie' Chardonnay,13.0,1,Chardonnay,1,1
Chapel Down Chardonnay 2020,11.5,1,Chardonnay,1,1
Alain Chavy Puligny-Montrachet 2017/18,13.0,1,,1,1
Elodie Duprés Chablis 2018 Magnum,13.0,1,,1,1
Gufetto Pinot Grigio 2018,12.0,1,Pinot Grigio,1,1
Villa Vito Pinot Grigio 2018 Magnum,12.0,1,Pinot Grigio,1,1
Albana Secco Campodora DOCG,13.0,1,,1,1
Barone Montalto Vermentino,12.0,1,,1,1
Arghé Pinot Grigio 2018,12.5,1,Pinot Grigio,1,1
Tyrrell's Vat 1 Sémillon 2014,11.5,1,,1,1
Castaway Island Chardonnay 2018,13.0,1,Chardonnay,1,1
Miss Lucy Sauvignon Pinot Gris,12.5,1,Pinot Gris,1,1
Kutch Sonoma Coast Chardonnay 2018,13.0,1,Chardonnay,1,1
Mayacamas Chardonnay 2015,14.5,1,Chardonnay,1,1
Clare Wine Co Watervale Riesling 2018,12.5,1,Riesling,1,1
Bird in Hand 'Two in the Bush' Chardonnay 2019/20,13.0,1,Chardonnay,1,1
Majestic Loves Sauvignon Magnum,12.0,1,,1,1
Devil's Creek 'Barrel Select' Sauvignon Blanc 2019,13.5,1,Sauvignon Blanc,1,1
Larry Cherubino ‘Folklore’ Chardonnay 2019,12.5,1,Chardonnay,1,1
Rutherglen Shelley's Block Marsanne,13.5,1,,1,1
Luis Felipe Edwards Elegido Sauvignon Gran Reserva,13.5,1,,1,1
De Bortoli Tumbarumba Chardonnay 2018/19,13.0,1,Chardonnay,1,1
Stonier Reserve Chardonnay 2016,13.5,1,Chardonnay,1,1
"Gavi Brut Metodo Classico ""La Battistina"" 2017",12.0,1,Gavi,1,1
Origines de Gascoigne 2019,11.5,1,,1,1
Bott Frigyes Furmint 2018,13.0,1,,1,1
Casillero del Diablo Sauvignon Blanc 2019,13.0,1,Sauvignon Blanc,1,1
Jordan Barrel Fermented Chardonnay 2019,13.5,1,Chardonnay,1,1
Awatere River Single Vineyard Sauvignon Blanc 2018,13.0,1,Sauvignon Blanc,1,1
Berton Vineyards Aranel 2020,12.5,1,,1,1
Jacked Sauvignon Blanc with Ginger 50cl,12.5,1,Sauvignon Blanc,1,1
Frontera Crisp & Fresh White,12.0,1,,1,1
Loch Fyne Chenin Blanc,13.5,1,Chenin Blanc,1,1
Flagstone Poetry Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Sinfonia Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Sinfonia Verdejo,12.0,1,Verdejo,1,1
Masalto Chardonnay,13.5,1,Chardonnay,1,1
Catarratto Pinot Grigio Lentezza ,12.0,1,Pinot Grigio,1,1
Catarratto Pinot Grigio Allegri,12.0,1,Pinot Grigio,1,1
Isla Negra Seashore Chardonnay Pedro Ximenez,12.0,1,Chardonnay,1,1
Kumala Eternal Sémillon Sauvignon Blanc,12.0,1,Sauvignon Blanc,1,1
Viña Maipo Classic Sauvignon Blanc Pedro Ximenez,12.0,1,Sauvignon Blanc,1,1
Isla Negra Seashore Sauvignon Blanc Pedro Ximenez,12.0,1,Sauvignon Blanc,1,1
Stormy Cape Chardonnay,13.0,1,Chardonnay,1,1
Hardys Classic Selection Chardonnay,12.5,1,Chardonnay,1,1
Vina Maipo Classic Chardonnay Pedro Ximenez,12.0,1,Chardonnay,1,1
Namaqua Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Pinot Grigio Cantastorie,12.0,1,Pinot Grigio,1,1
Pinot Grigio Ca Lunghetta,12.0,1,Pinot Grigio,1,1
Banrock Station Colombard Chardonnay,12.5,1,Chardonnay,1,1
Wolf Blass Red Label Semillon Chardonnay,13.0,1,Chardonnay,1,1
Hardys VR Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Yellow Tail Unoaked Chardonnay,11.5,1,Chardonnay,1,1
Trapiche Pinot Grigio,12.5,1,Pinot Grigio,1,1
Southern Ocean Marlborough Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Fitzroy Bay Marlborough Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Prestige de Calvet Sauvignon Blanc,12.0,1,Sauvignon Blanc,1,1
The Ned Sauvignon Blanc,13.0,1,Sauvignon Blanc,1,1
Squealing Pig Australian Chardonnay,13.0,1,Chardonnay,1,1
Cotes du Rhone L Tradition Blanc,14.0,1,,1,1
Pulpo Marlborough Sauvignon Blanc,12.5,1,Sauvignon Blanc,1,1
Villa Maria Private Bin Pinot Grigio,13.5,1,Pinot Grigio,1,1
Villa Maria Private Bin Sauvignon Blanc,13.0,1,Sauvignon Blanc,1,1
Villa Maria Private Bin Chardonnay,13.0,1,Chardonnay,1,1
Vidal Sauvignon Blanc,13.0,1,Sauvignon Blanc,1,1
Picpoul de Pinet Haut Bridau,12.5,1,,1,1
Wolf Blass Silver Label Chardonnay,13.0,1,Chardonnay,1,1
Left Field Sauvignon Blanc,13.5,1,Sauvignon Blanc,1,1
Esk Valley Sauvignon Blanc,13.5,1,Sauvignon Blanc,1,1
Petit Chablis Alain Geoffroy,12.5,1,Chablis,1,1
Macon Lugny Les Charmes,13.0,1,,1,1
Chablis Alain Geoffroy Domaine La Marguerite,12.5,1,Chablis,1,1
Chablis Domaine Le Verger,12.5,1,Chablis,1,1
Petit Chablis Louis Jadot,12.0,1,Chablis,1,1
Sancerre Blanc La Perrière,13.5,1,Sancerre,1,1
Givry Blanc Remoissenet,13.0,1,,1,1
Chateauneuf-du-Pape White Terroir Daronton,13.5,1,,1,1
Marsannay Blanc Huguenot,13.0,1,,1,1
Meursault Clos du Domaine Henri Darnat 2018,13.5,1,,1,1
Chassagne Montrachet Remoissenet 2017,13.0,1,,1,1
Meursault Remoissenet Cuvée Maurice Chevalier 2015,13.5,1,,1,1
Puligny Montrachet Remoissenet 2017,13.0,1,,1,1
Catarratto Pinot Grigio Allegri,12.0,1,Pinot Grigio,1,1
Big Coq Ventoux Rosé,13.0,1,,1,1
Matua Pinot Noir Rosé,13.0,1,Pinot Noir,1,1
Bandol Rosé,13.0,1,,1,1
Essentielle Les Masques Rosé Magnum,12.5,1,,1,1
Sancerre Rosé La Perriere,13.0,1,Sancerre,1,1
Akitabare “Koshiki Junzukuri”,14.5,3,Junmai,0,1
Hoyo “Genji”,15.0,2,Junmai,0,1
Hoyo “Sawayaka Junmai”,15.0,1,Junmai,0,1
Kamoizumi “Shusen”,16.0,4,Junmai,0,0
Kuzuryu “Junmai”,14.5,4,Junmai,0,2
Masumi “Okuden Kantsukuri”,15.0,7,Junmai,0,0
Miyasaka “Yawaraka Junmai”,12.0,6,Junmai,0,2
Sohomare “Karakuchi”,15.0,1,Junmai,0,1
Sohomare “Tokubetsu Kimoto”,15.0,5,Junmai,0,0
Tamagawa “Tokubetsu Junmai”,16.5,5,Junmai,0,0
Tedorigawa “Yamahai Junmai”,15.5,1,Junmai,0,1
Dewazakura “Dewasansan”,15.5,2,Ginjo,0,1
Dewazakura “Izumi Judan”,17.5,1,Ginjo,0,1
Dewazakura “Oka”,15.5,6,Ginjo,0,0
Dewazakura “Omachi”,16.5,2,Ginjo,0,1
Kokuryu “Junmai Ginjo”,15.5,3,Ginjo,0,1
Koshi no Kanbai “Sai”,15.0,6,Ginjo,0,0
Nagurayama “Yokikana”,16.0,6,Ginjo,0,0
Sohomare “Junmai Ginjo”,15.0,6,Ginjo,0,0
Dewazakura “Namagenshu”,17.5,6,Ginjo,0,0
Kamoizumi “Red Maple”,18.0,5,Ginjo,0,0
Akitabare “Daiginjo”,15.0,7,Daigino,0,0
Dewazakura “Ichiro”,15.0,5,Daigino,0,0
Hoyo “Kura no Hana”,15.0,8,Daigino,0,0
Kamoizumi “Junmai Daiginjo”,16.0,7,Daigino,0,0
Kokuryu “Ryu”,15.0,8,Daigino,0,0
Koshi no Kanbai “Chotokusen”,16.0,5,Daigino,0,0
Koshi no Kanbai “Kinmuku”,16.0,4,Daigino,0,0
Koshi no Kanbai “Muku”,16.0,6,Daigino,0,0
Kuzuryu “Daiginjo”,15.0,5,Daigino,0,0
Masumi “Sanka”,15.0,7,Daigino,0,0
Masumi “Yumedono”,17.0,8,Daigino,0,0
Tedorigawa “Iki na Onna”,16.5,6,Daigino,0,0
Tedorigawa “Yamahai Daiginjo”,15.5,8,Daigino,0,0
Tedorigawa “Kinka”,16.5,6,Daigino,0,0
Tedorigawa “Tsuyusanzen”,15.5,8,Daigino,0,0
Akitabare “Shunsetsu”,14.0,2,Honjozo,0,1
Seitoku “Bessen,15.0,1,Futsushu,0,1
