beverage,name,alcohol,character,class
1,The Ned 'Waihopai River' Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,La Toledana Gavi di Gavi DOCG 2019/20,13,1,Gavi
1,Saintsbury Chardonnay 2018,13.5,1,Chardonnay
1,Domaine Fouassier 'La Garenne' Sancerre 2019/20,13.5,2,Sancerre
1,Martín Códax Albariño 2020,13,1,Albariño
1,Jackson Estate 'Stich' Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,Bread and Butter Chardonnay 2019/20,13.5,2,Chardonnay
1,Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages Blanc 2019/20,13,1,Mâcon-Villages
1,LB7 Vinho Verde 2019/20,10,1,
1,Alamos Chardonnay 2020/21,13.5,1,Chardonnay
1,Mud House Chilean Sauvignon Blanc 2021,12.5,1,Sauvignon Blanc
1,Santa Rita ‘Medalla Real’ Chardonnay 2020,13.5,1,Chardonnay
1,Emiliana 'Gran Reserva' Organic Viognier 2020/21,14.5,1,
1,Ancient Lakes 'Eight Thousand Lakes' Riesling 2019,11.5,3,Riesling
1,Definition Gavi DOCG 2020,12.5,1,Gavi
1,Pringle Bay Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
1,Honey Drop Chardonnay 2020/21,13.5,1,Chardonnay
1,Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2020,13,1,Mâcon-Villages
1,Dog Point Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Boekenhoutskloof 'Porcupine Ridge' Sauvignon Blanc-Semillon 2020,12.5,1,Sauvignon Blanc
1,Boekenhoutskloof 'Vintager' Sauvignon Blanc 2021,12.5,2,Sauvignon Blanc
1,Marqués de Riscal Verdejo 2020,13,1,Verdejo
1,Eddystone Point Chardonnay 2018/19,13.5,1,Chardonnay
1,The Guv'nor Blanco,12.5,1,
1,Springfield Estate 'Wild Yeast' Chardonnay 2019/20,14,1,Chardonnay
1,Cantina Beato Bartolomeo Pinot Grigio Superiore 2020/21,12.5,1,Pinot Grigio
1,Domaine L. Chatelain Chablis 2020,13,1,
1,Château Recougne Blanc 2019/20,13.5,1,
1,Pinot Gris Grand Cru Spiegel 2018/19 Domaines Schlumberger,14,4,Pinot Gris
1,Cuvée Sainte Geneviève Blanc VdF,11.5,1,
1,Casa Ferreirinha 'Planalto' White Reserva 2019/20,13,1,
1,Lanson Le Black Label Brut Champagne,12.5,1,
1,Laurent-Perrier 'Grand Siècle' Champagne,12,1,
1,Heidsieck and Co. Monopole 'Gold Top' Champagne 2011,12.5,1,
1,Royal Tokaji 'Gold Label' 6 Puttonyos 2016,11,8,Tokaji
1,Royal Tokaji Late Harvest 2017 50cl,11.5,8,Tokaji
1,Waimea Estates Pinot Gris 2020/21,13,1,Pinot Gris
1,Saint Clair Pioneer Block Chardonnay 2019/20,13,1,Chardonnay
1,Gabb Family Chardonnay 2020/21,13.5,1,Chardonnay
1,Tasca 'Regaleali' Bianco Di Sicilia 2019/20,12,1,
1,Matusalem 30-Year-Old Oloroso Sherry Gonzalez Byass Half Bottle,20.5,5,
1,Domaine Jean-Max Roger ‘Cuvée Genese’ Sancerre 2019/20,13.5,1,Sancerre
1,Domaine Foucher Menetou Salon 2019/20,14,1,
1,Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris
1,Mas Querido Field Blend 2019,13,1,
1,Villarei Albariño 2019/20,13,1,Albariño
1,Duckhorn Vineyards Chardonnay 2018/19,14.5,1,Chardonnay
1,Shaw + Smith Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc
1,Yellow Tail Pinot Grigio 2020/21,11.5,1,Pinot Grigio
1,Denis Marchais Chenin Blanc 2019/20,11.5,1,
1,Berton Vineyard Fiano 2020/21,12.5,1,
1,De Bortoli Botrytis Semillon 2018 Half Bottle,10,8,
1,Louis Pommery England Brut,12,1,
1,Cline 'Nancy's Vines' Viognier 2019/20,14.5,1,
1,Shaw + Smith Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc
1,Yellow Tail Pinot Grigio 2020/21,11.5,1,Pinot Grigio
1,Denis Marchais Chenin Blanc 2019/20,11.5,1,
1,Berton Vineyard Fiano 2020/21,12.5,1,
1,De Bortoli Botrytis Semillon 2018 Half Bottle,10,8,
1,Louis Pommery England Brut,12,1,
1,Definition Mâcon-Villages 2019/20,13,1,Mâcon-Villages
1,Cline 'Nancy's Vines' Viognier 2019/20,14.5,1,
1,Cono Sur 'Bicicleta' Viognier Reserva 2020/21,14,1,
1,House of Arras 'Brut Elite Cuvée',13,1,
1,Hambledon Classic Cuvée,12,1,
1,Anthonij Rupert 'Cape of Good Hope' Chenin Blanc 2019,13.5,1,
1,Pieropan Soave Classico 2019,12,1,
1,Rupert and Rothschild 'Baroness Nadine' Chardonnay 2019,13.5,1,Chardonnay
1,Adega de Pegões ‘Selected Harvest’ White 2019/20,13,1,
1,Famille Roux Saint-Aubin Premier Cru 2018,13,none,
1,Château La Garde Pessac-Léognan Blanc 2019,13,none,
1,Penfolds 'Max's' Chardonnay 2018/19,13.5,1,Chardonnay
1,The Hunting Lodge Seasonal Sauvignon Blanc 2020,13.5,2,Sauvignon Blanc
1,Yealands Estate Single Vineyard Sauvignon Blanc 2020/21,13,2,Sauvignon Blanc
1,Lyme Bay Chardonnay 2017/18,13.5,2,Chardonnay
1,La Belle Angele Sauvignon Blanc Boxed Wine 2.25L,11.5,2,Sauvignon Blanc
1,Definition Pouilly-Fuissé 2019,13,2,
1,Conde los Andes Rioja Blanco 2016,13.5,1,
1,Louis Jadot 'Clos du Cromin' Meursault 2018,13,1,
1,Puligny-Montrachet 1er Cru 'La Garenne' 2015 Duc de Magenta,13.5,1,
1,Domaine Faiveley 'La Garenne' 2016 Puligny-Montrachet Premier Cru,13.5,2,
1,J. Bouchon 'Block Series' Semillon 2019,13.5,1,
1,Waimea Estates Pinot Gris 2020/21,13,1,Pinot Gris
1,Errazuriz Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc
1,Saint Clair Pioneer Block Chardonnay 2019/20,13,1,Chardonnay
1,Roberto Sarotto 'Campo dell'Olio' Gavi di Gavi 2020,13,2,Gavi
1,Peter and Ulrich Dry Riesling 2020,12.5,1,Riesling
1,Domaine de la Métairie d’Alon ‘Le Palajo’ Chardonnay 2019,14,1,Chardonnay
1,Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Pinot Gris 2019,13.5,2,Pinot Gris
1,Definition Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,Thierry Delaunay 'Ceptembre' Sauvignon Blanc 2020,12,1,Sauvignon Blanc
1,Louis Latour Mâcon-Lugny 2019/20,13,1,
1,Ara 'Pathway' Sauvignon Blanc 2021,13,2,Sauvignon Blanc
1,Definition White Burgundy 2020,13,1,
1,La Baume 'Cuvée Florence' Piquepoul Sauvignon Blanc 2020,12,1,Sauvignon Blanc
1,Definition Pinot Grigio 2020,13,1,Pinot Grigio
1,Chapel Down Flint Dry 2019/20,12.5,1,
1,Cloudy Bay Chardonnay 2018/19 Marlborough,13.5,1,Chardonnay
1,Greywacke Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Cave des Vignerons de Buxy 'Les Millières' Montagny 1er Cru 2019/20,13.5,1,
1,Bourgogne Chardonnay 'Les Chenaudières' 2019/20 Cave de Lugny,13,1,Chardonnay
1,Domaine Jomain ‘Les Perrières’ Puligny-Montrachet Premier Cru 2018/19,14.5,1,
1,Viré-Clessé Vieilles Vignes 2019/20 Christophe Cordier,13.5,1,
1,Jean Vincent Pouilly-Fumé 2018/19,13.5,1,
1,Gewürztraminer 'Les Princes Abbés' 2018/19 Domaines Schlumberger,13.5,2,
1,Grüner Veltliner Weingärten Weissenkirchen 2020/21,12.5,1,
1,Araldica Gavi DOCG 2020,12.5,1,Gavi
1,Fattori Soave 2020,12.5,1,
1,Pasqua 'PassionSentimento' Passimento Bianco 2019/20,13,1,
1,Villa Vito Pinot Grigio 2019/20,12,1,Pinot Grigio
1,Planeta Chardonnay 2018/19,14,1,Chardonnay
1,Falanghina 2020 Terredora,13.5,1,
1,Martín Códax 'Caixas' Albariño 2019/20,12.5,1,Albariño
1,Pouilly-Fumé de Ladoucette 2018/19,13.5,1,
1,Jean-Pierre Bailly Pouilly-Fumé 'Les Griottes' 2020/21,14,1,
1,Cuvée de Richard Blanc 2019/20,11.5,1,
1,Domaine Sainte Rose 'La Nuit Blanche' Roussanne 2019,14.5,1,
1,López de Haro Rioja Blanco 2020,12.5,1,
1,La Belle Angèle Sauvignon Blanc 2020,12,1,Sauvignon Blanc
1,Petaluma Chardonnay 2019,14,1,Chardonnay
1,Nicolas Courtin Brut Champagne,12,1,
1,Devaux 'Augusta' Brut Champagne,12,1,
1,Veuve Clicquot Champagne Magnum,12,1,
1,Taittinger Comtes de Champagne 2011,12.5,1,
1,Heidsieck and Co. Monopole 'Bronze Top' Brut Champagne,12.5,1,
1,Nicolas Feuillatte 2010 Champagne,12,1,
1,Krasno Sauvignon Blanc-Ribolla Gialla 2020,13,1,Sauvignon Blanc
1,Royal Tokaji 'Dry Tokaji' 2018/19,13,1,Tokaji
1,Louis Roederer Quartet,12.5,1,
1,Villa Maria 'Private Bin' Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,The Ned Noble Sauvignon Blanc 2018/19 Half Bottle,9.5,7,Sauvignon Blanc
1,The Ned Pinot Grigio 2020/21,14,1,Pinot Grigio
1,Waimea Estates Grüner Veltliner 2018/21,13,1,
1,Pegasus Bay 'Main Divide' Riesling 2016,13,4,Riesling
1,Catena Alta Chardonnay 2019,14,1,Chardonnay
1,Acacia Road Chenin Blanc 2020/21,12.5,1,
1,Ten Minutes By Tractor Estate Chardonnay 2018,14,1,Chardonnay
1,Klein Constantia Sauvignon Blanc 2019/20,13.5,1,Sauvignon Blanc
1,Montes Single Vineyard Chardonnay 2018/19,14.5,1,Chardonnay
1,Pedro Ximenez Triana Hidalgo Sherry,15,8,
1,Hidalgo 'Pastrana' Pasada Manzanilla Sherry,15,1,
1,Hidalgo Manzanilla Sherry La Gitana 50cl,15,1,
1,Agricola Fuster 'Dardell' Organic White 2020,13.5,1,
1,Gaillac Perle 'Evocation' 2019,12,1,
1,Domaine Rolet Arbois Chardonnay 2016,13,1,Chardonnay
1,Caves des Grand Crus Blancs Pouilly-Vinzelles 2019/20,13.5,1,
1,Alain Chavy 'Les Champs Gains’ Puligny-Montrachet Premier Cru 2017/18,13,1,
1,La Raia 'Il Borgo' Gavi 2020,12.5,1,Gavi
1,Pommery 'Brut Royal' Champagne,12.5,1,
1,Devil's Creek 'Gold Reserve' Sauvignon Blanc 2020,12.5,1,Sauvignon Blanc
1,Eight Thousand Lakes Sauvignon Blanc 2018,13,1,Sauvignon Blanc
1,Yellow Tail Chardonnay 2020/21,13,1,Chardonnay
1,Tahbilk 'The Tower' Marsanne 2019,12,1,
1,Definition Sancerre 2019/20,13.5,1,Sancerre
1,Domaine Bernard Michaut 'Beauroy' Chablis Premier Cru 2019/20,13.5,1,
1,Oliver Dubois Muscadet 2019/20,12,1,
1,Viré-Clessé 'Haute Cuvée' 2019/20 Rijckaert F. Rouve,13,1,
1,Baileyana ‘Firepeak' Chardonnay 2018,14,1,Chardonnay
1,M. Chapoutier Domaine des Granges de Mirabel Viognier 2019,13.5,1,
1,Château Guiraud 'G de Guiraud' Organic Sémillon/Sauvignon Blanc 2019/20,14,1,Sauvignon Blanc
1,BenMarco Plata Chardonnay 2020,14.5,1,Chardonnay
1,Luis Felipe Edwards 'Late Harvest' Viognier/Sauvignon Blanc 2018/19 Half Bottle,12.5,none,Sauvignon Blanc
1,Saladini Pilastri Pecorino 2020,13.5,1,
1,DeMorgenzon 'DMZ' Chenin Blanc 2020/21,14,1,
1,Schloss Vollrads Riesling Kabinett Trocken 2018,12.5,3,Riesling
1,Alain Jaume 'La Butte d'Or' Condrieu 2020,14,2,
1,Códax 'Cantigas' Albariño 2018/19,13,1,Albariño
1,Taylors Fine White 50cl,20,1,
1,Triplica Greco di Tufo DOCG 2019/20,13,1,
1,Anna's Way Viognier 2020,14.5,1,
1,Tbilvino 'Qvevris Rkatsitelli' 2019/20,12.5,none,
1,Domäne Wachau 'Smaragd' Grüner Veltliner 2019/20,13.5,2,
1,Majestic Crisp and Zesty 2021,12.5,2,
1,The Hunting Lodge 'Home Block' Sauvignon Blanc 2019,13.5,1,Sauvignon Blanc
1,Parcel Series Sauvignon Blanc 2019,13,2,Sauvignon Blanc
1,Cave Vinicole de Hunawihr 'Calixte 5' Cremant d'Alsace Brut,12,2,
1,Robert Oatley 'Signature Series' Chardonnay 2019/20,13.1,2,Chardonnay
1,Veuve Clicquot Brut Champagne,12,1,
1,Oyster Bay Chardonnay 2019/20,13,1,Chardonnay
1,Vavasour Sauvignon Blanc 2021,13.5,1,Sauvignon Blanc
1,Acacia Road Chardonnay 2020,13,1,Chardonnay
1,Definition Prosecco DOC,11,1,
1,Waimea Estates Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Emma Marris Sauvignon Blanc 2019/21,13,1,Sauvignon Blanc
1,Christina Ascheri Gavi di Gavi DOCG 2020,13,4,Gavi
1,Definition Chablis 2019/20,12.5,1,
1,Villa Maria 'Cellar Selection' Albariño 2020,13.5,none,Albariño
1,Silver Ghost Sauvignon Blanc 2020/21 Central Valley,12,1,Sauvignon Blanc
1,Chablis Premier Cru 2019/20 Domaine L. Chatelain,13.5,1,
1,Elodie Duprés Chablis 2019/20,13,1,
1,Cloudy Bay Te Koko 2019,14,1,
1,Dourthe Réserve Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc
1,Castelnau de Suduiraut 2014 Sauternes Half Bottle,13.5,8,
1,Caves des Vignerons de Buxy 'Vieilles Vignes' Montagny 2018,13,1,
1,Mâcon-Fuissé Vieilles Vignes Christophe Cordier 2019/20,13.5,1,
1,Contesa Pecorino 2020 IGT Colline Pescaresi,12.5,1,
1,Surani Pietrariccia Fiano 2020,13,1,
1,Inama Soave Classico DOC 2019/20,12,1,
1,Domaine de Saint Ferréol 'Grande Réserve' Viognier 2016/17,13,1,
1,Definition Chardonnay 2019/20,13.5,1,Chardonnay
1,Laurent-Perrier 'La Cuvée' Champagne,12,1,
1,Moët et Chandon 'Grand Vintage' 2012/13 Champagne,12.5,1,
1,Bollinger ‘Grande Année’ Champagne 2012,12,1,
1,Laurent-Perrier Millésimé 2008 Champagne,12,1,
1,Krug Grande Cuvée Champagne,12.5,1,
1,The King's Favour Sauvignon Blanc 2020,13,1,Sauvignon Blanc
1,Waimea Estates Sauvignon Gris 2020/21,14,1,
1,Acacia Road Sauvignon Blanc 2019/20,12.5,1,Sauvignon Blanc
1,Errazuriz Wild Ferment Chardonnay 2019/20,13,1,Chardonnay
1,Errazuriz Single Vineyard Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Domaine la Hitaire 'Les Tours' 2019/20,10.5,1,
1,Louis Latour 'La Grande Roche' Montagny Premier Cru 2019/20,13.5,1,
1,Petaluma 'Hanlin Hill' Riesling 2019/20,13.5,1,Riesling
1,Alain Chavy 'Clavoillons’ Puligny-Montrachet Premier Cru 2017/18,13.5,1,
1,Winzer Krems Grüner Veltliner 2020,12.5,1,
1,Ayala 'Brut Majeur' Extra Age Champagne,12,1,
1,Pedro's Almacenista Selection Fino,15,1,
1,Domaine la Hitaire 'Les Tours' 2019/20,10.5,1,
1,Louis Latour 'La Grande Roche' Montagny Premier Cru 2019/20,13.5,1,
1,Petaluma 'Hanlin Hill' Riesling 2019/20,13.5,1,Riesling
1,Alain Chavy 'Clavoillons’ Puligny-Montrachet Premier Cru 2017/18,13.5,1,
1,Winzer Krems Grüner Veltliner 2020,12.5,1,
1,Definition Grüner Veltliner 2018/20,12.5,1,
1,Aqualta Prosecco Frizzante Treviso DOC,10.5,1,
1,Ayala 'Brut Majeur' Extra Age Champagne,12,1,
1,Fincher and Co. Sauvignon Blanc 2020/21,13.5,1,Sauvignon Blanc
1,Drappier 'Signature' Blanc de Blancs Brut Champagne,12,1,
1,Babich Organic Sauvignon Blanc 2019/20,13,1,Sauvignon Blanc
1,Jomain Frères Bourgogne Blanc 2018/19,14.5,1,
1,Edouard Delaunay 'Septembre' Chardonnay 2019/20,13,1,Chardonnay
1,"Vouvray Sec ""Expresion de Silex"" 2019/20",12.5,1,
1,Domaine Gayda 'Figure Libre' Freestyle Blanc 2019,14.5,1,
1,Le Voyage d'Odette Sauvignon Blanc 2020,11.5,1,Sauvignon Blanc
1,Chablis 1er Cru Vaillons 2020 Séguinot-Bordet,13,1,
1,Côtes-du-Rhône Blanc 2020 Vidal Fleury,14,1,
1,Domaine Maire 'Heritage' Chardonnay 2018,12,1,Chardonnay
1,Saint Véran 'Haute Cuvée' 2019 Rijckaert F. Rouve,13,1,
1,Collovray and Terrier 'Reserve' Saint Véran 2018/19,13.5,1,
1,Yealands Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,Reyneke 'Vinehugger' Organic Chenin Blanc 2020/21,13.5,1,
1,Son of a Bull Riesling 2019,12,1,Riesling
1,Nero Oro Grillo Appassimento 2019/20,13.5,1,
1,Paolo Leo 'Renèe Bianco Organic' 2019,12.5,1,
1,Routes Catalanes Blanc 2019/20,12.5,1,
1,Creation Chardonnay 2020/21,14,1,Chardonnay
1,Weingut Bründlmayer 'Langenloiser Alte Reben' Grüner Veltliner 2019,14.5,1,
1,Definition Sauternes 2014 Half Bottle,13,8,
1,Girardin Père et Fils Puligny-Montrachet Vieilles Vignes 2017,13,none,
1,Laurent-Perrier ‘La Cuvee’ Champagne with 2 glasses,12,1,
1,Piper-Heidsieck 'Cuvée Brut' Champagne,12,2,
1,Viña Albali Sauvignon Blanc 0.5% 2019/20,0.5,1,Sauvignon Blanc
1,Alluria Pinot Grigio Boxed Wine 2.25L,12,1,Pinot Grigio
1,Cattier Premier Cru Brut Champagne,12.5,2,
1,Villa Tucci Bianco,12,2,
1,Famille Brocard 'Bougros' Chablis Grand Cru 2019,14,2,
1,Edouard Delaunay Puligny-Montrachet 2019,14,2,
1,Fincher and Co. ‘Wairau Valley’ Sauvignon Blanc 2020/21,12.5,1,Sauvignon Blanc
1,AltoLandon ‘Dulce Enero’ Ice Wine 2020 50cl,13.5,8,
1,J. Moreau et Fils ‘Le Sans Bois' Chardonnay 2020,12,2,Chardonnay
1,Cave de Hunawihr Kuhlmann-Platz 'Cuvée Prestige' Gewürztraminer 2018/19,14,3,
1,Pasqua 'Romeo and Juliet' Prosecco DOC Brut,11,1,
1,Villa Maria 'Taylors Pass' Sauvignon Blanc 2020,13.5,1,Sauvignon Blanc
1,Edna Valley Chardonnay 2018/19,14,1,Chardonnay
1,Saint Clair ‘Pioneer Block 5 Bull Block’ Pinot Gris 2020,12.5,3,Pinot Gris
1,Alfredini Catarratto Pinot Grigio,12,1,Pinot Grigio
1,Devil's Creek Sauvignon Blanc 2020,13,1,Sauvignon Blanc
1,Philippe le Hardi 'Les Platanes d'Henri IV' 2018/19,13.5,none,
1,Villemarin Picpoul de Pinet 2020/21,13,1,
1,Barista Chardonnay 2020/21,13.5,1,Chardonnay
1,Nals Margreid 'Stella Alpina' Pinot Grigio 2019/20,13.5,1,Pinot Grigio
1,Château La Rame 2017/18 Ste-Croix-du-Mont Half Bottle,15,8,
1,Bourgogne Côte Chalonnaise 2020 La Buxynoise,13,1,
1,Saint-Véran Les Vignerons des Grandes Vignes 2019/20,13,1,
1,Vouvray Domaine des Aubuisières Cuvée de Perruches 2019/20,13.5,2,
1,Jaboulet Viognier 2019/20,13.5,1,
1,Rioja Blanco 2020 Muga,13.5,1,
1,Bienbebido Pulpo Albariño 2020,11,1,Albariño
1,Pol Roger 2012/13 Champagne,12.5,1,
1,Majestic Loves Fizz,11,1,
1,Bouvet Ladubay Brut,12.5,1,
1,Chapel Down Brut,12,1,
1,Shaw + Smith 'M3' Chardonnay 2019/20,13.5,1,Chardonnay
1,Oyster Bay Sauvignon Blanc 2020/21,13,1,Sauvignon Blanc
1,Viñalba Selección Torrontés 2020,13.5,1,
1,Definition Chenin Blanc 2020/21,14,1,
1,Vasse Felix 'Filius' Chardonnay 2020,13,1,Chardonnay
1,Morandé One To One Gewurztraminer 2020/21,13.5,1,
1,Apostoles 30-Year-Old Palo Cortado Sherry Gonzalez Byass Half Bottle,20,3,
1,Kendermanns Riesling Kabinett 2020,8.5,2,Riesling
1,Porta 6 Vinho Verde 2019/20,9.5,1,
1,Waimea Estates Albariño 2020/21,13,1,Albariño
1,Men in White Coats Viognier 2020/21,13.5,1,
1,Le Bois Doré Chenin Blanc 2019/20,13,1,
1,Domaine des Patureaux Pouilly Fume 2019/20,14,1,
1,Doctor's 9.5% Sauvignon Blanc 2020/21,9.5,1,Sauvignon Blanc
1,Framingham 'Classic' Riesling 2020/21,12.5,3,Riesling
1,Framingham 'Nobody's Hero' Sauvignon Blanc 2019/20,13,1,Sauvignon Blanc
1,Mt. Difficulty 'Roaring Meg' Pinot Gris 2020,14,1,Pinot Gris
1,Stag's Leap 'Hands of Time' Chardonnay 2018/19,14.5,1,Chardonnay
